co2,regiao
32.03,ABC
32.03,ABC
32.1,ABC
32.17,ABC
32.17,ABC
32.1,ABC
32.24,ABC
32.17,ABC
31.9,ABC
32.1,ABC
32.24,ABC
32.17,ABC
32.24,ABC
32.17,ABC
32.24,ABC
32.45,ABC
33.01,ABC
32.59,ABC
32.59,ABC
33.58,ABC
32.66,ABC
32.17,ABC
32.31,ABC
32.1,ABC
32.31,ABC
32.1,ABC
31.96,ABC
31.96,ABC
32.03,ABC
30.74,ABC
31.76,ABC
31.9,ABC
31.96,ABC
31.83,ABC
32.03,ABC
32.31,ABC
32.17,ABC
32.1,ABC
32.52,ABC
32.03,ABC
32.1,ABC
33.44,ABC
32.87,ABC
32.66,ABC
33.15,ABC
32.1,ABC
32.03,ABC
32.03,ABC
31.83,ABC
32.24,ABC
32.31,ABC
32.31,ABC
32.38,ABC
32.52,ABC
32.8,ABC
32.31,ABC
33.08,ABC
32.17,ABC
32.03,ABC
32.24,ABC
32.1,ABC
32.24,ABC
32.38,ABC
32.52,ABC
32.17,ABC
32.8,ABC
32.73,ABC
33.01,ABC
33.72,ABC
34.16,ABC
32.38,ABC
32.17,ABC
32.24,ABC
32.24,ABC
31.96,ABC
31.76,ABC
32.03,ABC
32.1,ABC
32.1,ABC
32.31,ABC
32.17,ABC
32.1,ABC
32.17,ABC
32.03,ABC
32.59,ABC
31.96,ABC
31.28,ABC
32.38,ABC
32.31,ABC
31.69,ABC
32.24,ABC
32.17,ABC
32.24,ABC
32.03,ABC
32.45,ABC
32.38,ABC
32.24,ABC
33.01,ABC
32.03,ABC
31.9,ABC
31.15,ABC
31.96,ABC
32.24,ABC
32.24,ABC
31.48,ABC
32.31,ABC
32.24,ABC
32.1,ABC
32.1,ABC
32.1,ABC
32.1,ABC
32.1,ABC
32.17,ABC
31.62,ABC
32.03,ABC
31.76,ABC
32.03,ABC
32.1,ABC
31.9,ABC
32.17,ABC
31.96,ABC
32.52,ABC
32.45,ABC
32.17,ABC
31.9,ABC
31.83,ABC
31.96,ABC
32.17,ABC
31.9,ABC
32.1,ABC
31.42,ABC
32.1,ABC
32.24,ABC
31.96,ABC
31.9,ABC
32.17,ABC
32.31,ABC
32.1,ABC
32.17,ABC
32.45,ABC
32.73,ABC
32.52,ABC
32.59,ABC
32.24,ABC
32.59,ABC
32.31,ABC
32.52,ABC
32.87,ABC
33.01,ABC
32.17,ABC
32.38,ABC
32.52,ABC
32.45,ABC
32.31,ABC
32.38,ABC
32.38,ABC
32.45,ABC
32.59,ABC
32.8,ABC
32.45,ABC
32.31,ABC
32.59,ABC
32.59,ABC
32.87,ABC
32.38,ABC
32.59,ABC
33.37,ABC
32.87,ABC
32.45,ABC
33.65,ABC
33.65,ABC
33.65,ABC
33.51,ABC
33.94,ABC
34.16,ABC
34.09,ABC
34.45,ABC
34.38,ABC
34.31,ABC
34.67,ABC
34.75,ABC
36.32,ABC
37.02,ABC
38.76,ABC
40.66,ABC
42.29,ABC
41.51,ABC
37.25,ABC
34.97,ABC
34.89,ABC
35.19,ABC
33.87,ABC
33.15,ABC
33.15,ABC
33.58,ABC
33.94,ABC
32.8,ABC
32.94,ABC
33.44,ABC
32.94,ABC
33.15,ABC
33.08,ABC
33.44,ABC
33.37,ABC
32.73,ABC
33.22,ABC
33.8,ABC
34.16,ABC
34.45,ABC
34.67,ABC
35.04,ABC
35.42,ABC
36.79,ABC
37.25,ABC
39.91,ABC
42.11,ABC
42.11,ABC
39.74,ABC
39.58,ABC
34.97,ABC
33.01,ABC
33.01,ABC
32.94,ABC
32.8,ABC
32.52,ABC
32.17,ABC
32.87,ABC
32.73,ABC
33.01,ABC
32.73,ABC
32.59,ABC
33.72,ABC
33.44,ABC
32.73,ABC
32.66,ABC
32.45,ABC
32.66,ABC
32.73,ABC
32.8,ABC
32.73,ABC
32.87,ABC
32.94,ABC
32.94,ABC
33.01,ABC
32.87,ABC
33.15,ABC
33.51,ABC
33.58,ABC
33.8,ABC
34.01,ABC
34.38,ABC
34.89,ABC
33.15,ABC
33.8,ABC
33.44,ABC
34.31,ABC
34.6,ABC
35.42,ABC
33.58,ABC
32.66,ABC
32.59,ABC
32.59,ABC
32.59,ABC
33.22,ABC
32.94,ABC
33.01,ABC
32.73,ABC
32.94,ABC
32.03,ABC
32.45,ABC
32.52,ABC
32.8,ABC
33.37,ABC
32.59,ABC
32.8,ABC
33.01,ABC
33.01,ABC
33.01,ABC
33.15,ABC
32.8,ABC
33.3,ABC
33.3,ABC
33.87,ABC
33.65,ABC
34.23,ABC
34.52,ABC
34.67,ABC
35.34,ABC
34.75,ABC
36.1,ABC
35.64,ABC
36.86,ABC
38.44,ABC
40.74,ABC
42.29,ABC
36.02,ABC
34.09,ABC
33.87,ABC
33.08,ABC
33.87,ABC
34.16,ABC
34.6,ABC
35.04,ABC
35.27,ABC
34.01,ABC
33.72,ABC
34.75,ABC
34.75,ABC
33.3,ABC
32.66,ABC
32.59,ABC
33.01,ABC
32.73,ABC
32.66,ABC
32.59,ABC
32.73,ABC
33.3,ABC
32.8,ABC
33.01,ABC
33.01,ABC
32.87,ABC
32.94,ABC
33.44,ABC
33.08,ABC
33.15,ABC
33.08,ABC
33.44,ABC
34.31,ABC
33.01,ABC
33.37,ABC
33.15,ABC
33.22,ABC
33.87,ABC
32.73,ABC
33.15,ABC
33.87,ABC
34.09,ABC
34.31,ABC
34.01,ABC
34.01,ABC
34.45,ABC
34.23,ABC
34.23,ABC
34.52,ABC
34.16,ABC
35.19,ABC
35.57,ABC
35.04,ABC
36.32,ABC
36.71,ABC
37.73,ABC
38.44,ABC
35.49,ABC
35.49,ABC
37.02,ABC
37.65,ABC
34.45,ABC
33.87,ABC
33.65,ABC
34.09,ABC
34.16,ABC
34.6,ABC
34.31,ABC
34.52,ABC
35.19,ABC
35.79,ABC
35.87,ABC
36.4,ABC
37.25,ABC
37.25,ABC
33.58,ABC
33.51,ABC
33.3,ABC
33.44,ABC
33.08,ABC
34.09,ABC
32.87,ABC
33.22,ABC
33.37,ABC
33.87,ABC
34.16,ABC
34.09,ABC
33.94,ABC
34.6,ABC
34.89,ABC
35.27,ABC
35.27,ABC
36.48,ABC
36.1,ABC
38.04,ABC
37.18,ABC
36.71,ABC
36.63,ABC
36.94,ABC
37.18,ABC
37.65,ABC
38.6,ABC
39.17,ABC
39.01,ABC
39.99,ABC
41.17,ABC
41.51,ABC
44.51,ABC
48.16,ABC
44.6,ABC
43.07,ABC
42.03,ABC
42.46,ABC
39.91,ABC
36.4,ABC
35.04,ABC
34.75,ABC
34.89,ABC
35.79,ABC
36.48,ABC
36.86,ABC
36.56,ABC
37.02,ABC
38.44,ABC
38.84,ABC
41.85,ABC
41.17,ABC
39.74,ABC
41.68,ABC
48.65,ABC
37.41,ABC
33.08,ABC
33.01,ABC
