data, pm25, pm10, o3, no2, so2, co,latitude,longitude,regiao
2024/6/10, 82, 63, 32, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/6/11, 81, 58, 35, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/6/12, 103, 56, 39, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/6/13, 87, 53, 32, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/6/14, 87, 49, 26, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/6/15, 71, , , , , ,-23.66740510650914,-46.460780861433044,Maua
2024/6/18, 76, , , , , ,-23.66740510650914,-46.460780861433044,Maua
2024/1/2, 46, 30, 26, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/1/3, 54, 24, 28, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/1/4, 41, 16, 14, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/1/5, 25, 17, 18, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/1/6, 34, 11, 15, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/1/7, 22, 24, 34, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/1/8, 45, 35, 38, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/1/9, 60, 34, 57, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/1/10, 61, 36, 42, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/1/11, 56, 20, 29, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/1/12, 37, 15, 22, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/1/13, 30, 12, 13, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/1/14, 17, 26, 31, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/1/15, 52, 29, 36, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/1/16, 52, 27, 34, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/1/17, 50, 26, 34, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/1/18, 45, 27, 41, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/1/19, 55, 20, 31, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/1/20, 44, 16, 27, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/1/21, 35, 9, 18, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/1/22, 24, 12, 14, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/1/23, 24, 10, 12, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/1/24, 15, 13, 18, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/1/25, 30, 10, 14, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/1/26, 13, 15, 12, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/1/27, 27, 17, 14, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/1/28, 15, 21, 28, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/1/29, 36, 28, 30, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/1/30, 50, 36, 42, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/1/31, 64, 52, 34, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/2/1, 72, 31, 37, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/2/2, 58, 22, 18, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/2/3, 35, 35, 19, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/2/4, 53, 22, 23, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/2/5, 38, 29, 41, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/2/6, 58, 32, 28, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/2/7, 57, 34, 49, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/2/8, 57, 36, 51, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/2/9, 65, 33, 27, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/2/10, 55, 30, 24, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/2/11, 52, 35, 42, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/2/12, 60, , , , , ,-23.66740510650914,-46.460780861433044,Maua
2024/2/17, 42, 20, 23, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/2/18, 33, 21, 19, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/2/19, 37, 25, 30, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/2/20, 41, 24, 11, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/2/21, 34, 23, 20, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/2/22, 37, 21, 30, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/2/23, 47, 26, 34, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/2/24, 51, 23, 22, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/2/25, 42, 34, , , , ,-23.66740510650914,-46.460780861433044,Maua
2024/2/26, 64, 24, 13, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/2/27, 53, 32, 41, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/2/28, 53, 32, 37, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/2/29, 59, 25, 30, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/3/1, 46, 31, 20, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/3/2, 49, 16, 20, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/3/3, 31, 23, 40, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/3/4, 47, 28, 45, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/3/5, 59, 25, 31, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/3/6, 58, 25, 33, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/3/7, 60, 9, 7, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/3/8, 14, 13, 10, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/3/9, 18, 4, , , , ,-23.66740510650914,-46.460780861433044,Maua
2024/3/10, 18, 10, , , , ,-23.66740510650914,-46.460780861433044,Maua
2024/3/11, 33, 13, 21, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/3/12, 31, , , , , ,-23.66740510650914,-46.460780861433044,Maua
2024/3/14, 50, 39, 61, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/3/15, 85, 47, 79, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/3/16, 73, 53, 57, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/3/17, 56, , , , , ,-23.66740510650914,-46.460780861433044,Maua
2024/3/20, 67, 45, 58, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/3/21, 72, 26, 41, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/3/22, 56, 11, 18, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/3/23, 9, 16, 14, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/3/24, 16, 20, 12, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/3/25, 28, 25, 20, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/3/26, 38, 22, 14, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/3/27, 29, 23, 10, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/3/28, 32, 17, 10, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/3/29, 24, 23, 27, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/3/30, 46, 15, 22, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/3/31, 45, 32, 27, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/4/1, 48, 41, , , , ,-23.66740510650914,-46.460780861433044,Maua
2023/10/2, 38, 11, 14, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/10/3, 31, 25, 26, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/10/4, 51, 27, 18, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/10/5, 54, 17, 24, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/10/6, 36, 28, 45, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/10/7, 62, 34, 35, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/10/8, 65, 14, 23, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/10/9, 38, 10, 19, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/10/10, 27, 14, 17, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/10/11, 18, 28, 42, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/10/12, 57, 31, 19, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/10/13, 69, 8, 21, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/10/14, 9, 10, 17, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/10/15, 15, 19, 18, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/10/16, 46, 29, 32, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/10/17, 57, 15, 17, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/10/18, 29, 14, 18, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/10/19, 29, 7, 16, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/10/20, 19, 16, 13, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/10/21, 34, 13, 13, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/10/22, 23, 14, 19, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/10/23, 35, 28, 31, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/10/24, 59, 43, 45, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/10/25, 72, 20, 20, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/10/26, 47, 16, 11, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/10/27, 29, 16, 18, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/10/28, 43, 18, 28, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/10/29, 34, 25, 26, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/10/30, 48, 34, 34, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/10/31, 61, 34, 17, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/11/1, 57, 16, 14, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/11/2, 17, 13, 12, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/11/3, 25, 33, 33, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/11/4, 45, 23, 30, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/11/5, 33, 28, 20, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/11/6, 42, 25, 20, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/11/7, 25, 22, 25, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/11/8, 34, 46, 76, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/11/9, 70, 53, 37, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/11/10, 50, 37, 30, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/11/11, 45, 26, 60, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/11/12, 49, 51, 67, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/11/13, 87, 48, 73, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/11/14, 70, 49, 38, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/11/16, 62, 32, 47, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/11/17, 41, 46, 51, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/11/18, 84, 48, 47, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/11/19, 71, 27, 25, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/11/20, 42, 14, 21, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/11/21, 22, 25, 37, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/11/22, 42, 25, 40, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/11/23, 45, 27, 27, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/11/24, 38, 12, 16, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/11/25, 12, 19, 12, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/11/26, 28, 29, 16, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/11/27, 55, 39, 18, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/11/28, 65, 31, 29, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/11/29, 54, 23, 30, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/11/30, 37, 17, 51, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/12/1, 40, 40, 26, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/12/2, 33, 40, 54, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/12/3, 57, 50, 61, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/12/4, 88, 35, 49, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/12/5, 57, 29, 21, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/12/6, 44, 32, 48, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/12/7, 54, 35, 53, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/12/8, 60, 19, 31, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/12/9, 31, 10, 13, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/12/10, 15, 15, 14, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/12/11, 30, 19, 17, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/12/12, 31, 19, 18, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/12/13, 39, 20, 25, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/12/14, 39, 32, 36, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/12/15, 52, 55, 49, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/12/16, 89, 49, 37, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/12/17, 74, 33, 36, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/12/18, 65, 33, 29, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/12/19, 78, 25, 24, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/12/20, 43, 21, 16, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/12/21, 36, 26, 30, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/12/22, 40, 32, 36, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/12/23, 50, 24, 48, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/12/24, 44, 22, 37, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/12/25, 41, 40, 35, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/12/26, 67, 17, 20, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/12/27, 34, 23, 16, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/12/28, 33, 39, 34, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/12/29, 55, 50, 44, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/12/30, 77, 27, 22, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/12/31, 34, 20, 13, , , ,-23.66740510650914,-46.460780861433044,Maua
2024/1/1, 34, 26, 15, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/7/2, 62, 29, 25, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/7/3, 69, 13, 16, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/7/4, 20, 25, 18, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/7/5, 44, 40, 21, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/7/6, 71, 54, 28, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/7/7, 93, 50, 26, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/7/8, 91, 59, 29, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/7/9, 90, 30, 13, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/7/10, 66, 34, 9, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/7/11, 65, 42, 18, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/7/12, 69, 32, 26, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/7/13, 58, 32, 22, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/7/14, 39, 15, 18, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/7/15, 22, 23, 23, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/7/16, 43, 42, 41, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/7/17, 91, 45, 23, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/7/18, 93, 14, 15, , , ,-23.66740510650914,-46.460780861433044,Maua
2023/7/19, 33, 8, 15, , , ,-23.66740510650914,-46.460780861433044,Maua
