date, pm25, pm10, o3, no2, so2, co,latitude,longitude,regiao
2024/8/7, 55, , 28, 20, , 4,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/8/8, 63, , 30, 28, , 6,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/8/9, 80, , 21, 21, , 5,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/8/10, 58, , 18, 7, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/8/11, 30, , 28, 15, , 4,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/8/12, 56, , 23, 14, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/8/13, 38, , 20, 10, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/8/14, 40, , 28, 16, , 4,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/8/15, 61, , 39, 35, , 10,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/8/16, 81, , 59, 45, , 15,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/8/17, 108, , 62, 41, , 13,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/8/18, 117, , 59, 33, , 12,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/8/19, 124, , 59, 38, , 10,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/8/20, 114, , 1, 58, , 17,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/8/21, 152, , , , , ,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/9/19, 37, , 13, 9, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/9/20, 42, , , , , ,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/9/23, 76, , 66, 23, , 7,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/9/24, 92, , 72, 26, , 6,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/9/25, 105, , 98, 23, , 5,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/9/26, 104, , 82, 29, , 6,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/9/27, 113, , 31, 10, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/9/28, 53, , 27, 3, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/9/29, 33, , 34, , , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/9/30, 50, , 43, , , 4,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/10/1, 77, , 56, 29, , 8,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/4/2, 58, , 37, 25, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/4/3, 64, , 34, 15, , 4,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/4/4, 62, , 51, 12, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/4/5, 69, , 56, 12, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/4/6, 69, , 22, 4, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/4/7, 38, , 17, 3, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/4/11, 150, , 25, 8, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/4/12, 61, , 20, 5, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/4/13, 35, , 33, 7, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/4/14, 44, , 23, 6, , ,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/4/15, 54, , 23, 6, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/4/16, 46, , 35, 6, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/4/17, 48, , 25, , , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/4/18, 51, , 16, , , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/4/19, 22, , 20, , , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/4/20, 23, , 24, , , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/4/21, 38, , 35, , , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/4/22, 57, , 44, , , 4,-23.701934820154197,-46.553310586836886,Sao Bernardo
