date, pm25, pm10, o3, no2, so2, co,latitude,longitude,regiao
2019/7/4, 69, 15, 9, 13, , 4,-23.541638970943424,-46.47125736949073,Itaquera
2019/7/5, 33, 6, 17, 11, , 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/7/6, 18, 13, 26, 10, 1, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/7/7, 30, 17, 8, 10, , 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/7/8, 42, 20, 22, 13, 1, 4,-23.541638970943424,-46.47125736949073,Itaquera
2019/7/9, 39, 25, 24, 13, 1, 5,-23.541638970943424,-46.47125736949073,Itaquera
2019/7/10, 65, 29, 22, 24, 1, 10,-23.541638970943424,-46.47125736949073,Itaquera
2019/7/11, 77, 44, 35, 33, 1, 10,-23.541638970943424,-46.47125736949073,Itaquera
2019/7/12, 83, 44, 35, 34, 2, 16,-23.541638970943424,-46.47125736949073,Itaquera
2019/7/13, 107, 53, 40, 37, 2, 20,-23.541638970943424,-46.47125736949073,Itaquera
2019/7/14, 120, 51, 40, 34, 2, 48,-23.541638970943424,-46.47125736949073,Itaquera
2019/7/15, 137, 42, 13, 16, 2, 5,-23.541638970943424,-46.47125736949073,Itaquera
2019/7/16, 114, 15, 18, 11, , 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/7/17, 45, 22, 23, 13, 2, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/7/18, 55, 19, 22, 10, 2, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/7/19, 39, 26, 24, 16, 2, 5,-23.541638970943424,-46.47125736949073,Itaquera
2019/7/20, 61, 31, 26, 15, 1, 5,-23.541638970943424,-46.47125736949073,Itaquera
2019/7/21, 71, 27, 22, 14, 1, 6,-23.541638970943424,-46.47125736949073,Itaquera
2019/7/22, 66, 22, 24, 18, 1, 6,-23.541638970943424,-46.47125736949073,Itaquera
2019/7/23, 55, 32, 30, 23, 1, 9,-23.541638970943424,-46.47125736949073,Itaquera
2019/7/24, 75, 42, 36, 27, 2, 13,-23.541638970943424,-46.47125736949073,Itaquera
2019/7/25, 101, 38, 32, 21, 2, 6,-23.541638970943424,-46.47125736949073,Itaquera
2019/7/26, 83, 27, 29, 18, 1, 5,-23.541638970943424,-46.47125736949073,Itaquera
2019/7/27, 82, 34, 35, 15, 1, 4,-23.541638970943424,-46.47125736949073,Itaquera
2019/7/28, 75, 24, 28, 5, , 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/7/29, 50, 29, 24, 10, 2, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/7/30, 65, 33, 30, 17, 1, 4,-23.541638970943424,-46.47125736949073,Itaquera
2019/7/31, 72, 26, 34, 27, 1, 6,-23.541638970943424,-46.47125736949073,Itaquera
2019/8/1, 67, 38, 33, 24, 1, 10,-23.541638970943424,-46.47125736949073,Itaquera
2019/8/2, 75, 43, 30, 20, 2, 7,-23.541638970943424,-46.47125736949073,Itaquera
2019/8/3, 87, 9, 21, 5, , 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/8/4, 20, 13, 23, 6, 1, 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/8/5, 24, 15, 22, 9, , 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/8/6, 26, 21, 20, 14, , 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/8/7, 42, 20, 20, 17, 12, 5,-23.541638970943424,-46.47125736949073,Itaquera
2019/8/8, 49, 25, 37, 22, 2, 6,-23.541638970943424,-46.47125736949073,Itaquera
2019/8/9, 63, 28, 34, 21, 1, 7,-23.541638970943424,-46.47125736949073,Itaquera
2019/8/10, 67, 41, , 22, 1, ,-23.541638970943424,-46.47125736949073,Itaquera
2019/8/11, 61, 31, 24, 11, 1, 9,-23.541638970943424,-46.47125736949073,Itaquera
2019/8/12, 69, 35, 38, 20, 1, 18,-23.541638970943424,-46.47125736949073,Itaquera
2019/8/13, 78, 38, 18, 16, 1, 8,-23.541638970943424,-46.47125736949073,Itaquera
2019/8/14, 68, 15, 21, 9, , 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/8/15, 18, 30, 25, 10, 2, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/8/16, 30, 29, 34, 21, 1, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/8/17, 61, 39, 35, 29, 1, ,-23.541638970943424,-46.47125736949073,Itaquera
2019/8/20, 17, 19, 17, 10, , 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/8/21, 20, 20, 19, 10, , 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/8/22, 27, 22, 21, 8, , 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/8/23, 29, 15, 22, 11, 1, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/8/24, 25, 22, 25, , , ,-23.541638970943424,-46.47125736949073,Itaquera
2019/8/26, 25, 30, 28, 10, 2, 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/8/27, 39, 32, 29, 11, 1, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/8/28, 62, 28, 27, 11, 1, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/8/29, 53, 39, 32, 15, 2, 4,-23.541638970943424,-46.47125736949073,Itaquera
2019/8/30, 77, 46, 49, 31, 2, 7,-23.541638970943424,-46.47125736949073,Itaquera
2019/8/31, 88, 52, 43, 15, 1, 5,-23.541638970943424,-46.47125736949073,Itaquera
2019/9/1, 83, 16, 16, 12, , 4,-23.541638970943424,-46.47125736949073,Itaquera
2019/9/2, 49, 15, 19, 13, , 4,-23.541638970943424,-46.47125736949073,Itaquera
2019/9/3, 35, 31, 16, 19, , 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/9/4, 65, 24, 12, 13, 1, 7,-23.541638970943424,-46.47125736949073,Itaquera
2019/9/5, 40, 17, 19, 8, , 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/9/6, 17, 18, 18, 9, 3, 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/9/7, 30, 28, 27, 8, , 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/9/8, 47, 30, 40, 8, , 4,-23.541638970943424,-46.47125736949073,Itaquera
2019/9/9, 58, 31, 38, 12, 1, 4,-23.541638970943424,-46.47125736949073,Itaquera
2019/9/10, 64, 41, 64, 26, 1, 12,-23.541638970943424,-46.47125736949073,Itaquera
2019/9/11, 91, 44, 66, , 3, ,-23.541638970943424,-46.47125736949073,Itaquera
2019/9/12, 96, 48, 53, , 2, ,-23.541638970943424,-46.47125736949073,Itaquera
2019/9/13, 105, 23, 24, , 1, ,-23.541638970943424,-46.47125736949073,Itaquera
2019/9/14, 30, 23, 23, 4, , ,-23.541638970943424,-46.47125736949073,Itaquera
2019/9/15, 36, 33, 43, 9, 2, 4,-23.541638970943424,-46.47125736949073,Itaquera
2019/9/16, 78, 44, 50, 18, 2, 10,-23.541638970943424,-46.47125736949073,Itaquera
2019/9/17, 85, 53, 71, 24, 2, 7,-23.541638970943424,-46.47125736949073,Itaquera
2019/9/18, 111, 49, 54, 21, 1, 7,-23.541638970943424,-46.47125736949073,Itaquera
2019/9/19, 102, 43, 36, 10, 1, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/9/20, 75, 44, 32, 16, 1, 5,-23.541638970943424,-46.47125736949073,Itaquera
2019/9/21, 96, 10, 16, 6, 2, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/9/22, 24, 10, 19, 4, , 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/9/23, 24, 17, 24, 8, 1, 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/9/24, 34, 27, 25, 9, 3, 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/9/25, 47, 26, 17, 11, 1, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/9/26, 50, 25, 16, 14, 1, 4,-23.541638970943424,-46.47125736949073,Itaquera
2019/9/27, 46, 17, 23, 11, , 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/9/28, 28, 16, 21, 6, , 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/9/29, 37, 18, 32, 5, 3, 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/9/30, 44, 24, 35, 9, 2, 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/10/1, 53, 28, 58, 13, 2, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/4/2, 43, 27, 34, 7, 3, 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/4/3, 60, 38, 47, 20, 2, 5,-23.541638970943424,-46.47125736949073,Itaquera
2019/4/4, 80, 41, 72, 21, 2, 5,-23.541638970943424,-46.47125736949073,Itaquera
2019/4/5, 89, 45, 50, 20, 1, 5,-23.541638970943424,-46.47125736949073,Itaquera
2019/4/6, 84, 24, 37, 11, , 4,-23.541638970943424,-46.47125736949073,Itaquera
2019/4/7, 58, 13, 20, 10, , 4,-23.541638970943424,-46.47125736949073,Itaquera
2019/4/8, 47, 10, 24, 13, , 4,-23.541638970943424,-46.47125736949073,Itaquera
2019/4/9, 28, 10, 26, 9, , 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/4/10, 38, 11, 17, 7, , 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/4/11, 40, 18, 34, 11, 4, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/4/12, 53, 23, 38, 11, 2, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/4/13, 83, 31, 67, 13, 1, 4,-23.541638970943424,-46.47125736949073,Itaquera
2019/4/14, 84, 2, 13, 9, 1, 4,-23.541638970943424,-46.47125736949073,Itaquera
2019/4/15, 50, , 38, 9, 2, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/4/16, 71, , 23, 10, 2, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/4/17, 82, 15, 25, 11, 1, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/4/18, 37, 17, 31, 10, 1, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/4/19, 39, 19, 75, 14, 3, 4,-23.541638970943424,-46.47125736949073,Itaquera
2019/4/20, 66, 29, 43, 17, 1, 8,-23.541638970943424,-46.47125736949073,Itaquera
2019/4/21, 76, 33, 45, 18, 1, 7,-23.541638970943424,-46.47125736949073,Itaquera
2019/4/22, 98, 40, 38, 14, 2, 4,-23.541638970943424,-46.47125736949073,Itaquera
2019/4/23, 75, 27, 28, 10, 1, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/4/24, 58, 26, 29, 11, 1, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/4/25, 67, 28, 39, 12, 1, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/4/26, 74, 35, 37, 15, 1, 4,-23.541638970943424,-46.47125736949073,Itaquera
2019/4/27, 76, 30, 31, 13, , 6,-23.541638970943424,-46.47125736949073,Itaquera
2019/4/28, 66, 3, 32, 10, 1, 5,-23.541638970943424,-46.47125736949073,Itaquera
2019/4/29, 48, 17, 20, 10, 1, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/4/30, 28, 21, 32, 12, 1, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/5/1, 51, 23, 41, 12, 1, 4,-23.541638970943424,-46.47125736949073,Itaquera
2019/5/2, 60, 38, 35, 23, 1, 7,-23.541638970943424,-46.47125736949073,Itaquera
2019/5/3, 99, 33, 33, 21, 1, 6,-23.541638970943424,-46.47125736949073,Itaquera
2019/5/4, 89, 37, 37, 18, 1, 6,-23.541638970943424,-46.47125736949073,Itaquera
2019/5/5, 89, 31, 35, 13, 1, 5,-23.541638970943424,-46.47125736949073,Itaquera
2019/5/6, 88, 29, 10, 17, , 5,-23.541638970943424,-46.47125736949073,Itaquera
2019/5/7, 70, 18, 19, 8, 1, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/5/8, 41, 12, 17, 9, 1, 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/5/9, 28, 18, 19, 10, 4, 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/5/10, 40, 28, 26, 20, 1, 6,-23.541638970943424,-46.47125736949073,Itaquera
2019/5/11, 68, 30, 32, 17, , 6,-23.541638970943424,-46.47125736949073,Itaquera
2019/5/12, 61, 27, 31, 11, 1, 8,-23.541638970943424,-46.47125736949073,Itaquera
2019/5/13, 65, 23, 23, 12, 1, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/5/14, 59, 23, 28, 12, , 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/5/15, 45, 10, 23, 7, , 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/5/16, 36, 10, 16, 7, , 2,-23.541638970943424,-46.47125736949073,Itaquera
2019/5/17, 28, 12, 17, 10, 6, 3,-23.541638970943424,-46.47125736949073,Itaquera
2019/5/18, 37, 14, 11, 13, 1, 5,-23.541638970943424,-46.47125736949073,Itaquera
2019/5/19, 56, 15, 17, 8, 1, 3,-23.541638970943424,-46.47125736949073,Itaquera
