data, pm25, pm10, o3, no2, so2, co,latitude,longitude,regiao
2024/8/21, 175, , , , , ,-23.467295600325237,-46.53206211505543,Guarulhos
2024/9/19, 46, 35, 16, 13, , 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/9/20, 67, 43, 41, 14, , 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/9/21, 73, 30, 23, 17, , 7,-23.467295600325237,-46.53206211505543,Guarulhos
2024/9/22, 61, 30, 41, 7, , 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/9/23, 62, 49, 72, 18, , 7,-23.467295600325237,-46.53206211505543,Guarulhos
2024/9/24, 91, 56, 57, 21, 1, 7,-23.467295600325237,-46.53206211505543,Guarulhos
2024/9/25, 103, 56, 62, 17, 2, 5,-23.467295600325237,-46.53206211505543,Guarulhos
2024/9/26, 101, 69, 55, 28, 2, 8,-23.467295600325237,-46.53206211505543,Guarulhos
2024/9/27, 118, 42, 33, 18, 1, 6,-23.467295600325237,-46.53206211505543,Guarulhos
2024/9/28, 84, 18, 26, 3, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/9/29, 34, 23, 35, 4, 1, 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/9/30, 43, 37, 42, 10, 2, 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/10/1, 66, 57, 46, 21, 1, 5,-23.467295600325237,-46.53206211505543,Guarulhos
2024/4/4, 27, 30, , , , ,-23.467295600325237,-46.53206211505543,Guarulhos
2024/4/5, 64, 31, , , , ,-23.467295600325237,-46.53206211505543,Guarulhos
2024/4/6, 66, 20, , , , ,-23.467295600325237,-46.53206211505543,Guarulhos
2024/4/7, 48, 11, , , , ,-23.467295600325237,-46.53206211505543,Guarulhos
2024/4/8, 26, 24, , , , ,-23.467295600325237,-46.53206211505543,Guarulhos
2024/4/9, 51, 25, , , , ,-23.467295600325237,-46.53206211505543,Guarulhos
2024/4/10, 59, 32, , , , ,-23.467295600325237,-46.53206211505543,Guarulhos
2024/4/11, 68, 26, , , , ,-23.467295600325237,-46.53206211505543,Guarulhos
2024/4/12, 60, 17, , , , ,-23.467295600325237,-46.53206211505543,Guarulhos
2024/4/13, 39, 20, , , , ,-23.467295600325237,-46.53206211505543,Guarulhos
2024/4/14, 40, 16, , , , ,-23.467295600325237,-46.53206211505543,Guarulhos
2024/4/15, 45, 19, 17, 10, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/4/16, 35, 21, 18, 12, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/4/17, 47, , 27, 13, , ,-23.467295600325237,-46.53206211505543,Guarulhos
2024/4/21, 39, 23, 28, 9, 1, 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/4/22, 55, 33, 30, 17, 1, 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/4/23, 61, 43, 32, 23, , 5,-23.467295600325237,-46.53206211505543,Guarulhos
2024/4/24, 80, 48, 40, 23, , 5,-23.467295600325237,-46.53206211505543,Guarulhos
2024/4/25, 89, 22, 24, 8, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/4/26, 50, 22, 26, 11, , 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/4/27, 47, 28, 28, 12, , 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/4/28, 57, 31, 34, 10, , 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/4/29, 63, 26, 25, 10, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/4/30, 49, 51, 35, 20, , 6,-23.467295600325237,-46.53206211505543,Guarulhos
2024/5/1, 88, 55, 37, 20, , 6,-23.467295600325237,-46.53206211505543,Guarulhos
2024/5/2, 106, 52, 32, 21, , 6,-23.467295600325237,-46.53206211505543,Guarulhos
2024/5/3, 90, 48, 31, 19, , 6,-23.467295600325237,-46.53206211505543,Guarulhos
2024/5/4, 86, 42, 23, 15, , 5,-23.467295600325237,-46.53206211505543,Guarulhos
2024/5/5, 89, 39, 27, 12, 1, 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/5/6, 80, 36, 22, 15, , 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/5/7, 76, 43, 24, 17, , 5,-23.467295600325237,-46.53206211505543,Guarulhos
2024/5/8, 77, 39, 23, 16, , 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/5/9, 60, 38, 29, 15, , 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/5/10, 65, 32, 25, 11, , 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/5/11, 58, 52, 31, 18, , 5,-23.467295600325237,-46.53206211505543,Guarulhos
2024/5/12, 93, 36, 28, 13, , 5,-23.467295600325237,-46.53206211505543,Guarulhos
2024/5/13, 66, 49, 36, 18, , 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/5/14, 77, 19, 6, 12, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/5/15, 46, 11, 7, 10, 1, 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/5/16, 28, 29, 15, 14, , 4,-23.467295600325237,-46.53206211505543,Guarulhos
